Duration (seconds),How familiar are you with your company's immigration policies?,How many employees work at your company?,What industry is your company in? (modified),What industry is your company in?,What state is your company headquartered in?,Do you have a written immigration policy today?,Does your company hire candidates on H-1B visas?,Do you require that the H-1B candidate has a minimum amount of time remaining in their overall 6-year maximum for them to be eligible for hire?,How many months must be remaining in their H-1B status (time before max out)? Please leave blank if unsure; use the arrow button below to move forward.,Months before H-1B maxout (modified),Are H-1B employees eligible for Green Card sponsorship?,How many months after the employee's start date are H-1B employees eligible for initiation of a Green Card process?Please leave blank if unsure; use the arrow button below to move forward.,Months after start date for GC eligibility from H-1B (modified),Does your company sponsor L-1 visas?,Are L-1 employees eligible for H-1B lottery sponsorship?,How many months after the L-1 employee's start date are they eligible for H-1B lottery sponsorship?Please leave blank if unsure; use the arrow button below to move forward.,Months before eligible for H-1B from L-1 (modified),Are L-1 employees eligible for Green Card sponsorship?,How many months after the L-1 employee's start date are they eligible for initiation of a Green Card process?Please leave blank if unsure; use the arrow button below to move forward.,Months after start date for GC eligibility from L-1 (modified),Does your company sponsor F-1 OPT visas?,Do you require that the F-1 OPT candidate has a minimum time period of OPT or STEM OPT remaining for them to be eligible for hire?,How many months must be remaining in their F-1 status (time before max out)?Please leave blank if unsure; use the arrow button below to move forward.,Months before F-1 OPT maxout (modified),"Does your company sponsor single intent visas (e.g. TN, E-2, E-3, O-1) that can be renewed indefinitely?",Are single intent visa employees eligible for H-1B lottery sponsorship?,How many months after the single intent visa employee's start date are they eligible for H-1B lottery sponsorship?Please leave blank if unsure; use the arrow button below to move forward.,Months before eligible for H-1B from single intent (modified),Are single intent visa employees eligible for Green Card sponsorship?,How many months after the single intent visa employee's start date are they eligible for initiation of a Green Card process?Please leave blank if unsure; use the arrow button below to move forward.,Months after start-date for GC eligibility from single intent (modified),How many months before an employee's status expiration do you initiate an extension?Please leave blank if unsure; use the arrow button below to move forward.,Months left before expiry to initiate extension (modified) ,When are employees eligible to start with your company after an H-1B transfer has been filed?,Does your company support the maintenance of the employee's underlying nonimmigrant visa once an I-485 is pending?,Do you limit which occupations/jobs you are willing to sponsor for a non-immigrant visa?,"To show that you are paying attention, please select ""none of the above"" option as your answer.","For PERM-based Green Cards, the employer is required to cover the cost of the PERM but either the employer or employee can cover the cost of the I-140 and I-485 processes. What portion of I-140 costs do you cover?",What portion of I-485 costs do you cover?,Do you cover Green Card processing costs for the employee's dependent family members?,"If an application is filed with USCIS' Premium Processing option, who covers the cost?",What portion of consular processing costs do you cover when an employee goes abroad to obtain a visa stamp?,Will you cover travel expenses related to consular processing of visa applications?,,Do you cover non-immigrant visa costs for the employee's dependent family members?,Do you have a liquidated damages clause that allows you to recoup immigration fees when an employee leaves your company within a specific time period?,What is the tenure threshold below which the liquidated damages clause applies in months?Please leave blank if unsure; use the arrow button below to move forward.,Tenure of liquidated damages clause (modified) ,What percent of damages are you seeking to recover?Please leave blank if unsure; use the arrow button below to move forward.,Percent of damages recovered (modified),Who is responsible for immigration costs at your company?,Do you share a complete copy of an employee's immigration filings with the employee to bring to consular appointments?,"Do you share case tracking numbers (e.g. receipt number, PERM case number) and government notices (e.g. receipt notice, approval notice) with the employee?",Session ID,Publish ID,Count of State Responses,Count of Industry Responses,SizeProxy,[AI]Proxy,Power of One
170,It is a primary function of my job role,3. 51-200,Manufacturing,Manufacturing,TX,No,Yes,I don't know,,,I don't know,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS issuance of receipt notice,I don't know,No,None of the above,I don't know,None,We cover no costs for dependent family members,I don't know,None,No,,We cover no costs for dependent family members,No,,,,,I Don't Know,Never,No,ef5f0804-d226-46fd-866e-2f3972b5d28c,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,52,37,#REF!,#REF!,1
199,"It is a part of my job role, and I collaborate with others as needed","5. 501-1,000",Manufacturing,Manufacturing,VA,Yes,Yes,Yes,24,24,No,,,Yes,No,,,Yes,36,36,No,,,,No,,,,,,,12,12,Upon USCIS approval,Yes,Yes,None of the above,Some,Some,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,Yes,12,12,50,50,Human Resources,Sometimes,Yes,16d403f1-d385-4053-acd8-7d0ebc513792,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,11,37,#REF!,#REF!,1
310,"It is a part of my job role, and I collaborate with others as needed","6. 1,001-5,000","Telecommunications, Technology, Internet & Electronics","Telecommunications, Technology, Internet & Electronics",MD,Yes,Yes,Yes,,,Yes,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,Yes,Yes,None of the above,I don't know,None,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover some costs for dependent family members,Yes,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Always,Yes,b33b6efb-f287-482c-abf8-8bc6e4e77b5e,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,12,24,#REF!,#REF!,1
87,"It is a part of my job role, and I collaborate with others as needed",1. 1-10,"Construction, Machinery and Homes","Construction, Machinery and Homes",NY,No,No,,,,,,,No,,,,,,,Yes,Yes,12,12,Yes,Yes,12,12,Yes,18,24,3,6,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,All,All,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover some costs for dependent family members,No,,,,,Human Resources,Sometimes,Yes,aa61cf8b-875b-4690-8ed5-fab9b0095f3b,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,35,47,#REF!,#REF!,1
157,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,Advertising & Marketing,publishing,NY,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,No,Yes,None of the above,None,None,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,No,,,,,Human Resources,Always,Yes,9e8a4ad8-fe38-4d70-a50c-a608fe417377,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,35,17,#REF!,#REF!,1
153,It is a primary function of my job role,"5. 501-1,000","Telecommunications, Technology, Internet & Electronics","Telecommunications, Technology, Internet & Electronics",CA,Yes,Yes,Yes,6,6,Yes,6,6,Yes,Yes,6,6,Yes,6,6,Yes,Yes,6,6,Yes,Yes,6,6,Yes,6,6,6,6,Upon USCIS approval,Yes,Yes,None of the above,All,All,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover all costs for all dependent family members,Yes,6,6,20,25,Human Resources,Always,Yes,f78986af-5832-43f6-84f0-3592ded2ce6d,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,49,24,#REF!,#REF!,1
248,It is a primary function of my job role,3. 51-200,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,IN,No,Yes,No,,,Yes,36,36,No,,,,,,,No,,,,No,,,,,,,12,12,Immediately upon USCIS receipt of application,Yes,No,None of the above,All,All,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover no costs for dependent family members,No,,,,,Human Resources,Always,Yes,76519a50-8b60-4933-9694-22e34fa2e510,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,7,98,#REF!,#REF!,1
197,It is a primary function of my job role,"8. 10,000+",Manufacturing,Manufacturing,ND,Yes,Yes,Yes,,,Yes,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,Yes,No,None of the above,All,Some,We cover no costs for dependent family members,I don't know,None,No,,We cover no costs for dependent family members,I don't know,,,,,Human Resources,Always,No,e8fa462a-e7ae-4d2b-94fa-c0e4edf0a593,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,1,37,#REF!,#REF!,1
116,"It is a part of my job role, and I collaborate with others as needed",3. 51-200,Retail & Consumer Durables,Retail & Consumer Durables,AL,Yes,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,Yes,Yes,None of the above,Some,Some,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Always,Yes,58b06ce4-b8fb-4b09-a3a2-9df167dea4d0,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,22,46,#REF!,#REF!,1
217,It is a primary function of my job role,1. 1-10,Education,Education,OR,Yes,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,Yes,I don't know,None of the above,None,I don't know,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,I don't know,No,,We cover no costs for dependent family members,Yes,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Always,Yes,fba89572-68af-49bf-b6c2-38d95502ed06,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,6,46,#REF!,#REF!,1
124,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,AZ,Yes,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,I don't know,I don't know,None of the above,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,I don't know,I don't know,,,,,Human Resources,I don't know,I don't know,e826abfe-a385-497f-bf4f-bd808940c2e9,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,10,98,#REF!,#REF!,1
180,It is a primary function of my job role,2. 11-50,"Construction, Machinery and Homes","Construction, Machinery and Homes",TN,Yes,Yes,No,,,Yes,6,6,No,,,,,,,Yes,Yes,12,12,Yes,No,,,Yes,8,12,6,6,Immediately upon USCIS receipt of application,Yes,No,None of the above,All,All,We cover all costs for all dependent family members,We only cover the cost when necessary due to a business need,All,No,,We cover no costs for dependent family members,Yes,12,12,50,50,Human Resources,Always,Yes,bd17914d-0c5d-4ecb-b3c7-794caa73733f,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,12,47,#REF!,#REF!,1
165,"It is a part of my job role, and I collaborate with others as needed","8. 10,000+",Retail & Consumer Durables,Retail & Consumer Durables,CA,No,Yes,No,,,Yes,6,6,Yes,I don't know,,,I don't know,,,No,,,,Yes,Yes,6,6,Yes,3,6,3,6,Upon USCIS issuance of receipt notice,Yes,Yes,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover no costs for dependent family members,I don't know,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Sometimes,I don't know,71d323c9-ac2d-48a3-90fd-40cd2e733ae6,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,49,46,#REF!,#REF!,1
228,"It is a part of my job role, and I collaborate with others as needed",2. 11-50,Business Support & Logistics,HR,FL,Yes,Yes,Yes,8,12,Yes,10,12,Yes,Yes,9,12,Yes,9,12,Yes,Yes,12,12,Yes,Yes,12,12,Yes,12,12,6,6,Upon USCIS approval,Yes,No,None of the above,Some,Some,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover no costs for dependent family members,Yes,12,12,100,100,Human Resources,Sometimes,Yes,85f0f1c7-04b2-44fe-8e72-eaef04b9d055,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,61,53,#REF!,#REF!,1
177,It is a primary function of my job role,3. 51-200,Education,Education,NV,Yes,Yes,Yes,9,12,Yes,12,12,Yes,Yes,12,12,Yes,9,12,Yes,Yes,6,6,Yes,Yes,6,6,Yes,9,12,6,6,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,All,Some,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,Some,Yes,,We cover some costs for dependent family members,Yes,6,6,25,25,Human Resources,Sometimes,Yes,80b1db2b-8db4-4732-b376-7c161a39a557,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,2,46,#REF!,#REF!,1
403,"It is a part of my job role, and I collaborate with others as needed","6. 1,001-5,000",Finance & Financial Services,Finance & Financial Services,AL,Yes,Yes,Yes,6,6,Yes,6,6,Yes,Yes,12,12,Yes,12,12,Yes,Yes,8,12,Yes,Yes,12,12,Yes,9,12,12,12,Upon USCIS approval,Yes,No,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover some costs for dependent family members,Yes,12,12,60,75,Human Resources,Always,Yes,73829bc2-0f1d-481d-abed-27a4c3d57d13,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,22,24,#REF!,#REF!,1
149,It is a primary function of my job role,3. 51-200,Retail & Consumer Durables,Retail & Consumer Durables,FL,Yes,Yes,Yes,12,12,No,,,No,,,,,,,No,,,,No,,,,,,,3,6,Immediately upon USCIS receipt of application,No,Yes,None of the above,None,None,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover no costs for dependent family members,No,,,,,Human Resources,Always,No,3a59de9d-c6d7-418d-8bc7-63cb980c7308,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,61,46,#REF!,#REF!,1
182,"It is a part of my job role, and I collaborate with others as needed","6. 1,001-5,000",Business Support & Logistics,Business Support & Logistics,PA,Yes,Yes,No,,,Yes,12,12,No,,,,,,,No,,,,No,,,,,,,12,12,Upon USCIS approval,Yes,Yes,None of the above,All,All,We cover no costs for dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover no costs for dependent family members,No,,,,,Human Resources,Always,Yes,38d2141b-4f22-47f1-9bf9-82d87183358d,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,21,53,#REF!,#REF!,1
457,It is a primary function of my job role,"5. 501-1,000",Retail & Consumer Durables,Retail & Consumer Durables,PA,Yes,Yes,Yes,5,6,Yes,5,6,Yes,Yes,9,12,Yes,9,12,No,,,,Yes,Yes,12,12,Yes,12,12,9,12,Upon USCIS issuance of receipt notice,Yes,Yes,None of the above,All,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,All,Yes,,We cover all costs for all dependent family members,No,,,,,Human Resources,Always,Yes,1470dfab-7b53-430b-a249-241c6e1859ec,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,21,46,#REF!,#REF!,1
1049,"It is a part of my job role, and I collaborate with others as needed","6. 1,001-5,000",Business Support & Logistics,HR,GA,No,Yes,Yes,6,6,No,,,No,,,,,,,No,,,,No,,,,,,,1,6,Upon USCIS approval,I don't know,Yes,None of the above,None,None,We cover no costs for dependent family members,I don't know,None,No,,We cover no costs for dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",I don't know,No,b8dc0428-66bb-48a3-ad01-c68b3e045c1c,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,26,53,#REF!,#REF!,1
1892,It is a primary function of my job role,"8. 10,000+",Retail & Consumer Durables,Retail & Consumer Durables,CO,Yes,Yes,I don't know,,,Yes,12,12,Yes,Yes,12,12,Yes,12,12,Yes,Yes,6,6,Yes,Yes,14,24,Yes,8,12,9,12,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,None,All,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover all costs for all dependent family members,Yes,6,6,75,75,Human Resources,Sometimes,No,1c74e789-1d0e-45ae-a251-4c55ba4e798f,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,7,46,#REF!,#REF!,1
302,It is a primary function of my job role,4. 201-500,Manufacturing,Manufacturing,NJ,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,I don't know,I don't know,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover no costs for dependent family members,Yes,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Sometimes,No,1e78a4d4-1ba6-49ae-8343-fb161e8dec91,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,8,37,#REF!,#REF!,1
126,"It is a part of my job role, and I collaborate with others as needed","6. 1,001-5,000",Education,Education,NY,Yes,Yes,Yes,12,12,Yes,24,24,No,,,,,,,Yes,Yes,24,24,No,,,,,,,6,6,Upon USCIS approval,No,Yes,None of the above,None,None,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,No,,,,,Human Resources,Always,No,8350b88b-9277-414f-80a2-e75f17eb61ab,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,35,46,#REF!,#REF!,1
105,It is a primary function of my job role,3. 51-200,Education,Education,WV,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,2,6,Upon USCIS approval,Yes,Yes,None of the above,Some,Some,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover some costs for dependent family members,I don't know,,,,,Human Resources,Always,Yes,e860d030-f880-462a-846b-01f9f3d77abf,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,4,46,#REF!,#REF!,1
95,It is a primary function of my job role,"5. 501-1,000",Business Support & Logistics,Business Support & Logistics,OH,No,No,,,,,,,No,,,,,,,No,,,,Yes,No,,,No,,,30,36,Upon USCIS issuance of receipt notice,No,No,None of the above,Some,Some,We cover no costs for dependent family members,We always cover the cost when Premium Processing is used,Some,No,,We cover no costs for dependent family members,No,,,,,Human Resources,Sometimes,No,1fd04f30-44b0-4413-b46d-a6e7b55d75cf,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,16,53,#REF!,#REF!,1
215,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,Manufacturing,Manufacturing,OK,Yes,Yes,Yes,5,6,Yes,3,6,Yes,Yes,6,6,Yes,6,6,No,,,,Yes,Yes,6,6,Yes,6,6,3,6,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,Some,Some,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover all costs for all dependent family members,Yes,6,6,60,75,Human Resources,Always,Yes,b991659d-3b82-4f91-acdb-b101d252d04f,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,9,37,#REF!,#REF!,1
189,It is a primary function of my job role,"6. 1,001-5,000",Finance & Financial Services,Finance & Financial Services,MA,Yes,Yes,Yes,,,I don't know,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,I don't know,I don't know,None of the above,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,I don't know,I don't know,,,,,I Don't Know,I don't know,I don't know,1b12002f-37b1-434f-9a85-8a909449f25e,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,10,24,#REF!,#REF!,1
113,It is a primary function of my job role,3. 51-200,Business Support & Logistics,HR,LA,No,Yes,I don't know,,,Yes,,,Yes,Yes,,,Yes,,,Yes,Yes,,,Yes,I don't know,,,I don't know,,,,,Immediately upon USCIS receipt of application,Yes,I don't know,None of the above,Some,None,We cover some costs for dependent family members,I don't know,Some,I don't know,,We cover all costs for all dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Sometimes,Yes,827cba23-3433-486a-bcf8-059c0dbf7dd3,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,9,53,#REF!,#REF!,1
148,It is a primary function of my job role,4. 201-500,Retail & Consumer Durables,Retail & Consumer Durables,ID,No,Yes,Yes,3,6,Yes,3,6,No,,,,,,,No,,,,No,,,,,,,3,6,Upon USCIS issuance of receipt notice,No,I don't know,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover no costs for dependent family members,I don't know,,,,,Human Resources,Sometimes,No,78012138-5b7f-4588-b36e-cc62f6717caf,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,3,46,#REF!,#REF!,1
184,"It is a part of my job role, and I collaborate with others as needed",3. 51-200,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,GA,Yes,Yes,Yes,8,12,Yes,3,6,No,,,,,,,No,,,,No,,,,,,,4,6,Upon USCIS issuance of receipt notice,Yes,Yes,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover some costs for dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Always,Yes,027902a7-005c-4bdc-9572-55d5d9e9290d,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,26,98,#REF!,#REF!,1
264,"It is a part of my job role, and I collaborate with others as needed","7. 5,001-10,000",Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,CA,Yes,Yes,Yes,2,6,Yes,5,6,Yes,Yes,3,6,Yes,5,6,Yes,Yes,3,6,Yes,Yes,4,6,Yes,3,6,5,6,Upon USCIS approval,Yes,Yes,None of the above,Some,Some,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover all costs for all dependent family members,Yes,2,6,,,Human Resources,Always,Yes,ba3015a5-1d9a-4d75-8020-3e76fa86094d,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,49,98,#REF!,#REF!,1
329,It is a primary function of my job role,"6. 1,001-5,000",Food & Beverages,Food & Beverages,FL,Yes,Yes,Yes,6,6,Yes,6,6,Yes,Yes,6,6,Yes,6,6,Yes,Yes,6,6,Yes,Yes,6,6,Yes,6,6,6,6,Upon USCIS issuance of receipt notice,Yes,No,None of the above,All,All,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover all costs for all dependent family members,Yes,3,6,75,75,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Always,Yes,6261fdc5-0997-4e37-b916-b65b1c975726,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,61,30,#REF!,#REF!,1
171,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,Entertainment & Leisure,Entertainment & Leisure,TX,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,6,6,Upon USCIS approval,I don't know,I don't know,None of the above,None,None,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover no costs for dependent family members,I don't know,,,,,Human Resources,Never,I don't know,b6825259-1707-4ae5-b7e6-8834682d039b,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,52,8,#REF!,#REF!,1
107,It is a primary function of my job role,"5. 501-1,000",Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,FL,Yes,Yes,Yes,6,6,Yes,6,6,Yes,Yes,6,6,Yes,6,6,Yes,Yes,6,6,Yes,Yes,6,6,Yes,6,6,6,6,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,All,All,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover all costs for all dependent family members,Yes,6,6,100,100,Human Resources,Always,Yes,453369f2-d6f2-4b0e-8269-b20e2a5993a4,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,61,98,#REF!,#REF!,1
156,"It is a part of my job role, and I collaborate with others as needed","8. 10,000+","Telecommunications, Technology, Internet & Electronics","Telecommunications, Technology, Internet & Electronics",WA,Yes,Yes,I don't know,,,Yes,1,6,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS issuance of receipt notice,I don't know,I don't know,None of the above,I don't know,I don't know,We cover all costs for all dependent family members,I don't know,I don't know,I don't know,,We cover all costs for all dependent family members,I don't know,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",I don't know,Yes,566adb2e-02ec-49b8-9c3a-e6297d3933af,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,10,24,#REF!,#REF!,1
1661,It is a primary function of my job role,"6. 1,001-5,000",Finance & Financial Services,Finance & Financial Services,NY,Yes,Yes,Yes,3,6,Yes,5,6,Yes,Yes,5,6,Yes,4,6,Yes,Yes,5,6,Yes,Yes,3,6,Yes,3,6,4,6,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,All,All,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover all costs for all dependent family members,Yes,4,6,6,5,Human Resources,Always,Yes,542e4cfd-fa37-4152-bfda-68bdd1951112,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,35,24,#REF!,#REF!,1
206,"It is a part of my job role, and I collaborate with others as needed",2. 11-50,Finance & Financial Services,Finance & Financial Services,FL,Yes,Yes,Yes,3,6,Yes,4,6,No,,,,,,,No,,,,Yes,Yes,2,6,Yes,8,12,4,6,Upon USCIS issuance of receipt notice,No,Yes,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover some costs for dependent family members,No,,,,,Human Resources,Sometimes,Yes,ee0ff1f7-a1f3-482c-ab43-4ea711c41107,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,61,24,#REF!,#REF!,1
184,It is a primary function of my job role,2. 11-50,"Construction, Machinery and Homes","Construction, Machinery and Homes",FL,Yes,Yes,Yes,6,6,Yes,12,12,Yes,I don't know,,,Yes,12,12,No,,,,No,,,,,,,6,6,Upon USCIS approval,I don't know,Yes,None of the above,Some,Some,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,Yes,6,6,70,75,Human Resources,Always,Yes,763a81ec-a274-4c09-8860-098139c1d3ca,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,61,47,#REF!,#REF!,1
212,It is a primary function of my job role,3. 51-200,Business Support & Logistics,Business Support & Logistics,FL,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,Yes,I don't know,None of the above,I don't know,I don't know,We cover no costs for dependent family members,I don't know,None,I don't know,,I don't know,I don't know,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",I don't know,I don't know,a0ee37c2-1cd1-4522-831d-06014fc73da6,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,61,53,#REF!,#REF!,1
137,"It is a part of my job role, and I collaborate with others as needed",2. 11-50,Food & Beverages,Food & Beverages,TX,No,No,,,,,,,No,,,,,,,Yes,I don't know,,,Yes,Yes,,,I don't know,,,,,Upon USCIS issuance of receipt notice,I don't know,I don't know,None of the above,I don't know,None,I don't know,I don't know,I don't know,I don't know,,I don't know,I don't know,,,,,Human Resources,I don't know,No,cca877c7-e372-4ea7-b024-21916aa7edc2,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,52,30,#REF!,#REF!,1
213,It is a primary function of my job role,"6. 1,001-5,000",Finance & Financial Services,Finance & Financial Services,CA,Yes,Yes,Yes,2,6,Yes,8,12,Yes,Yes,8,12,Yes,8,12,Yes,Yes,8,12,Yes,Yes,8,12,Yes,8,12,8,12,Upon USCIS issuance of receipt notice,Yes,Yes,None of the above,All,All,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover all costs for all dependent family members,Yes,8,12,8,5,Human Resources,Always,Yes,043a0f94-d1d2-4935-b017-e36223a2fb7f,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,49,24,#REF!,#REF!,1
166,It is a primary function of my job role,3. 51-200,"Construction, Machinery and Homes","Construction, Machinery and Homes",CT,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,I don't know,I don't know,None of the above,I don't know,I don't know,We cover no costs for dependent family members,I don't know,I don't know,I don't know,,We cover no costs for dependent family members,No,,,,,Human Resources,I don't know,I don't know,11e984b0-c225-4a66-9205-d9fdee1e1649,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,5,47,#REF!,#REF!,1
131,It is a primary function of my job role,"5. 501-1,000","Construction, Machinery and Homes","Construction, Machinery and Homes",FL,Yes,Yes,Yes,3,6,Yes,4,6,Yes,Yes,3,6,Yes,3,6,Yes,Yes,3,6,Yes,Yes,4,6,Yes,3,6,3,6,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,All,Some,We cover some costs for dependent family members,We always cover the cost when Premium Processing is used,Some,Yes,,We cover some costs for dependent family members,Yes,4,6,3,5,Human Resources,Sometimes,Yes,7a71f59b-bfe5-4532-8b4b-5a6639a1b4f3,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,61,47,#REF!,#REF!,1
